threshold,fpr,tpr
0.198,0.9887288666249218,0.3913294797687861
0.199,0.9881026925485284,0.3745664739884393
0.2,0.9849718221665623,0.3491329479768786
0.201,0.9843456480901691,0.3352601156069364
0.202,0.9830932999373826,0.315028901734104
0.203,0.9799624295554165,0.30289017341040464
0.20400000000000001,0.9787100814026299,0.28959537572254335
0.20500000000000002,0.9774577332498434,0.2815028901734104
0.20600000000000002,0.9749530369442705,0.2728323699421965
0.20700000000000002,0.971195992485911,0.261271676300578
0.20800000000000002,0.9686912961803381,0.2560693641618497
0.209,0.965560425798372,0.24393063583815028
0.21,0.9636819035691923,0.2352601156069364
0.211,0.9555416405760802,0.22890173410404624
0.212,0.9511584220413275,0.22196531791907514
0.213,0.9467752035065748,0.21676300578034682
0.214,0.9430181590482154,0.20867052023121388
0.215,0.9386349405134627,0.2023121387283237
0.216,0.9342517219787101,0.1976878612716763
0.217,0.9317470256731372,0.19132947976878611
0.218,0.9267376330619912,0.18554913294797687
0.219,0.9185973700688791,0.17745664739884393
0.22,0.9110832811521603,0.16878612716763006
0.221,0.9060738885410144,0.16416184971098266
0.222,0.9004383218534753,0.15953757225433526
0.223,0.8966812773951158,0.1531791907514451
0.224,0.8904195366311835,0.1508670520231214
0.225,0.8835316217908579,0.14277456647398845
0.226,0.8797745773324984,0.13815028901734103
0.227,0.8728866624921728,0.13641618497109825
0.228,0.867877269881027,0.13468208092485548
0.229,0.862867877269881,0.13410404624277455
0.23,0.8616155291170946,0.13121387283236993
0.231,0.8559799624295554,0.12890173410404623
0.232,0.8503443957420163,0.12890173410404623
0.233,0.8403256105197244,0.12774566473988438
0.234,0.8315591734502191,0.1260115606936416
0.23500000000000001,0.8221665623043206,0.12485549132947976
0.23600000000000002,0.817783343769568,0.12312138728323699
0.23700000000000002,0.8083907326236693,0.12023121387283237
0.23800000000000002,0.7946149029430182,0.11965317919075144
0.23900000000000002,0.7883531621790858,0.11791907514450867
0.24,0.7833437695679399,0.11445086705202312
0.241,0.7770820288040076,0.1138728323699422
0.242,0.7670632435817157,0.11040462427745665
0.243,0.7582968065122104,0.10867052023121387
0.244,0.7501565435190983,0.10520231213872833
0.245,0.743894802755166,0.10289017341040463
0.246,0.7319974953036944,0.10173410404624278
0.247,0.725735754539762,0.10115606936416185
0.248,0.7169693174702567,0.09942196531791908
0.249,0.7100814026299311,0.09768786127167631
0.25,0.7006887914840325,0.09710982658959537
0.251,0.6887914840325611,0.09595375722543352
0.252,0.678146524733876,0.09479768786127167
0.253,0.6706324358171571,0.09190751445086705
0.254,0.6631183469004384,0.09132947976878612
0.255,0.6530995616781465,0.0907514450867052
0.256,0.6424546023794615,0.08959537572254335
0.257,0.6324358171571697,0.08901734104046242
0.258,0.6261740763932373,0.08786127167630058
0.259,0.6149029430181591,0.08670520231213873
0.26,0.6080150281778335,0.0861271676300578
0.261,0.6005009392611146,0.08497109826589595
0.262,0.5911083281152161,0.0838150289017341
0.263,0.5873512836568566,0.08323699421965318
0.264,0.5754539762053851,0.08265895953757225
0.265,0.5648090169067,0.08265895953757225
0.266,0.5572949279899813,0.08092485549132948
0.267,0.5529117094552286,0.08092485549132948
0.268,0.5472761427676894,0.08092485549132948
0.269,0.5378835316217908,0.08092485549132948
0.27,0.5291170945522855,0.08034682080924856
0.271,0.5209768315591734,0.08034682080924856
0.272,0.5109580463368817,0.07976878612716763
0.273,0.5015654351909831,0.07861271676300578
0.274,0.493425172197871,0.07803468208092486
0.275,0.48778960551033185,0.07803468208092486
0.276,0.48090169067000627,0.07803468208092486
0.277,0.47213525360050096,0.07745664739884393
0.278,0.46775203506574825,0.07745664739884393
0.279,0.4602379461490294,0.07687861271676301
0.28,0.45084533500313084,0.07630057803468208
0.281,0.43894802755165935,0.07572254335260116
0.28200000000000003,0.4314339386349405,0.07456647398843931
0.28300000000000003,0.4257983719474014,0.07456647398843931
0.28400000000000003,0.4201628052598622,0.07398843930635839
0.28500000000000003,0.4139010644959299,0.07398843930635839
0.28600000000000003,0.4076393237319975,0.07398843930635839
0.28700000000000003,0.3976205385097057,0.07398843930635839
0.28800000000000003,0.3876017532874139,0.07398843930635839
0.289,0.38134001252348154,0.07398843930635839
0.29,0.37507827175954916,0.07398843930635839
0.291,0.3681903569192235,0.07283236994219654
0.292,0.3625547902316844,0.07283236994219654
0.293,0.35504070131496557,0.07283236994219654
0.294,0.34502191609267374,0.07109826589595376
0.295,0.3337507827175955,0.07052023121387284
0.296,0.32748904195366313,0.07052023121387284
0.297,0.3231058234189105,0.06994219653179191
0.298,0.3199749530369443,0.06878612716763005
0.299,0.3149655604257984,0.06878612716763005
